GLOBAL.UNIQUE.IDENTIFIER,LAST.EDITED.DATE,TAXONOMIC.ORDER,CATEGORY,TAXON.CONCEPT.ID,COMMON.NAME,SCIENTIFIC.NAME,SUBSPECIES.COMMON.NAME,SUBSPECIES.SCIENTIFIC.NAME,EXOTIC.CODE,OBSERVATION.COUNT,BREEDING.CODE,BREEDING.CATEGORY,BEHAVIOR.CODE,AGE.SEX,COUNTRY,COUNTRY.CODE,STATE,STATE.CODE,COUNTY,COUNTY.CODE,IBA.CODE,BCR.CODE,USFWS.CODE,ATLAS.BLOCK,LOCALITY,LOCALITY.ID,LOCALITY.TYPE,LATITUDE,LONGITUDE,OBSERVATION.DATE,TIME.OBSERVATIONS.STARTED,OBSERVER.ID,SAMPLING.EVENT.IDENTIFIER,PROTOCOL.TYPE,PROTOCOL.CODE,PROJECT.CODE,DURATION.MINUTES,EFFORT.DISTANCE.KM,EFFORT.AREA.HA,NUMBER.OBSERVERS,ALL.SPECIES.REPORTED,GROUP.IDENTIFIER,HAS.MEDIA,APPROVED,REVIEWED,REASON,TRIP.COMMENTS,SPECIES.COMMENTS,X
URN:CornellLabOfOrnithology:EBIRD:OBS903991262,8/27/2020 14:32,8099,species,avibase-D89A9DC9,Brahminy Kite,Haliastur indus,NA,NA,NA,2,NA,NA,NA,NA,India,IN,Kerala,IN-KL,Kasaragod,IN-KL-KS,NA,NA,NA,NA,Puthiya  Kotta,L2514996,H,12.3,75.0833333,8/28/1999,9:00:00,obsr944073,S67885050,Traveling,P22,EBIRD_IND,60,1,NA,1,1,NA,0,1,0,NA,NA,NA,NA
URN:CornellLabOfOrnithology:EBIRD:OBS903986095,8/27/2020 14:32,5912,species,avibase-CE89BE6D,Bronze-winged Jacana,Metopidius indicus,NA,NA,NA,2,NA,NA,NA,NA,India,IN,Kerala,IN-KL,Kasaragod,IN-KL-KS,NA,NA,NA,NA,Puthiya  Kotta,L2514996,H,12.3,75.0833333,8/21/1999,17:30:00,obsr944073,S67884728,Traveling,P22,EBIRD_IND,30,1,NA,1,1,NA,0,1,0,NA,NA,NA,NA
URN:CornellLabOfOrnithology:EBIRD:OBS903991269,8/27/2020 14:32,5912,species,avibase-CE89BE6D,Bronze-winged Jacana,Metopidius indicus,NA,NA,NA,3,NA,NA,NA,NA,India,IN,Kerala,IN-KL,Kasaragod,IN-KL-KS,NA,NA,NA,NA,Puthiya  Kotta,L2514996,H,12.3,75.0833333,8/28/1999,9:00:00,obsr944073,S67885050,Traveling,P22,EBIRD_IND,60,1,NA,1,1,NA,0,1,0,NA,NA,NA,NA
URN:CornellLabOfOrnithology:EBIRD:OBS903986096,8/27/2020 14:32,9547,species,avibase-9505E03D,Common Kingfisher,Alcedo atthis,NA,NA,NA,1,NA,NA,NA,NA,India,IN,Kerala,IN-KL,Kasaragod,IN-KL-KS,NA,NA,NA,NA,Puthiya  Kotta,L2514996,H,12.3,75.0833333,8/21/1999,17:30:00,obsr944073,S67884728,Traveling,P22,EBIRD_IND,30,1,NA,1,1,NA,0,1,0,NA,NA,NA,NA
URN:CornellLabOfOrnithology:EBIRD:OBS903991257,8/27/2020 14:32,27278,species,avibase-F23A2F38,Common Myna,Acridotheres tristis,NA,NA,NA,4,NA,NA,NA,NA,India,IN,Kerala,IN-KL,Kasaragod,IN-KL-KS,NA,NA,NA,NA,Puthiya  Kotta,L2514996,H,12.3,75.0833333,8/28/1999,9:00:00,obsr944073,S67885050,Traveling,P22,EBIRD_IND,60,1,NA,1,1,NA,0,1,0,NA,NA,NA,NA
URN:CornellLabOfOrnithology:EBIRD:OBS903991258,8/27/2020 14:32,3092,species,avibase-F5F991AC,Greater Coucal,Centropus sinensis,NA,NA,NA,2,NA,NA,NA,NA,India,IN,Kerala,IN-KL,Kasaragod,IN-KL-KS,NA,NA,NA,NA,Puthiya  Kotta,L2514996,H,12.3,75.0833333,8/28/1999,9:00:00,obsr944073,S67885050,Traveling,P22,EBIRD_IND,60,1,NA,1,1,NA,0,1,0,NA,NA,NA,NA
URN:CornellLabOfOrnithology:EBIRD:OBS903991263,8/27/2020 14:32,7376,species,avibase-E5E0B92F,Indian Pond-Heron,Ardeola grayii,NA,NA,NA,4,NA,NA,NA,NA,India,IN,Kerala,IN-KL,Kasaragod,IN-KL-KS,NA,NA,NA,NA,Puthiya  Kotta,L2514996,H,12.3,75.0833333,8/28/1999,9:00:00,obsr944073,S67885050,Traveling,P22,EBIRD_IND,60,1,NA,1,1,NA,0,1,0,NA,NA,NA,NA
URN:CornellLabOfOrnithology:EBIRD:OBS903986093,8/27/2020 14:32,243,species,avibase-BD683E6E,Lesser Whistling-Duck,Dendrocygna javanica,NA,NA,NA,2,NA,NA,NA,NA,India,IN,Kerala,IN-KL,Kasaragod,IN-KL-KS,NA,NA,NA,NA,Puthiya  Kotta,L2514996,H,12.3,75.0833333,8/21/1999,17:30:00,obsr944073,S67884728,Traveling,P22,EBIRD_IND,30,1,NA,1,1,NA,0,1,0,NA,NA,NA,NA
URN:CornellLabOfOrnithology:EBIRD:OBS903991266,8/27/2020 14:32,7148,species,avibase-60EA3FA9,Little Cormorant,Microcarbo niger,NA,NA,NA,2,NA,NA,NA,NA,India,IN,Kerala,IN-KL,Kasaragod,IN-KL-KS,NA,NA,NA,NA,Puthiya  Kotta,L2514996,H,12.3,75.0833333,8/28/1999,9:00:00,obsr944073,S67885050,Traveling,P22,EBIRD_IND,60,1,NA,1,1,NA,0,1,0,NA,NA,NA,NA
URN:CornellLabOfOrnithology:EBIRD:OBS903991268,8/27/2020 14:32,29806,species,avibase-E9BCF764,Purple Sunbird,Cinnyris asiaticus,NA,NA,NA,1,NA,NA,NA,NA,India,IN,Kerala,IN-KL,Kasaragod,IN-KL-KS,NA,NA,NA,NA,Puthiya  Kotta,L2514996,H,12.3,75.0833333,8/28/1999,9:00:00,obsr944073,S67885050,Traveling,P22,EBIRD_IND,60,1,NA,1,1,NA,0,1,0,NA,NA,NA,NA
