Accepted_name,Family,Author,SuccessionalStatus,DispersalMode,Zoochorous.Tadwalkar_etal.,Habit,Comment_successional.status
Psychotria_nilgiriensis,Rubiaceae,Deb & M.G.Gangop.,O,Bird,,Tree,
Mallotus_resinosus,Euphorbiaceae,(Blanco) Merr.,O,Gravity,,Tree,
Mallotus_resinosus,Euphorbiaceae,(Blanco) Merr.,O,Gravity,,Tree,
Symplocos_cochinchinensis,Symplocaceae,(Lour.) S.Moore,O,Bird,,Tree,
Symplocos_cochinchinensis,Symplocaceae,(Lour.) S.Moore,O,Bird,,Tree,
Strobilanthes_speciesA,Acanthaceae,NA,E,Unknown,,Shrub,
Elatostema_lineolatum,Urticaceae,Wight,Unknown,Unknown,,Herb,
Strobilanthes_speciesB,Acanthaceae,NA,E,Unknown,,Shrub,
Strobilanthes_speciesB,Acanthaceae,NA,E,Unknown,,Shrub,
Unidentified_tree,NA,NA,NA,NA,,Tree,
Cryptocarya_wightiana,Lauraceae,Thwaites,O,Bird,,Tree,
Casearia_graveolens,Salicaceae,Dalzell,O,Bird,,Tree,
Gomphandra_coriacea,Stemonuraceae,Wight,O,Bird,,Tree,Common canopy trees in high elevation evergreen forests
Chionanthus_malaelengi,Oleaceae,(Dennst.) P.S.Green,E,Bird/Mammal,Z,Tree,
Elaeocarpus_serratus,Elaeocarpaceae,L.,O,Mammal,,Tree,
Microtropis_latifolia,Celastraceae,Wight ex M.A.Lawson,O,Unknown,,Tree,
Cryptocarya_anamalayana,Lauraceae,Gamble,O,Bird,,Tree,
Vateria_indica,Dipterocarpaceae,L.,O,Gravity,,Tree,
Ventilago_madraspatana,Rhamnaceae,Gaertn.,Unknown,Unknown,,Climber,
Vepris_bilocularis,Rutaceae,(Wight & Arn.) Engl.,O,Mammal,,Tree,
Zanthoxylum_rhetsa,Rutaceae,(Roxb.) DC.,O,Bird,,Tree,
